Name,Address,Postalcode,X-COORDINATES,Y-COORDINATES
Cuscaden Residences,28 Cuscaden Road 249723 Singapore,249723,27280.0993,31914.7409
D' Banyan,83 Jalan Sendudok 769468 Singapore,769468,27126.6427,47305.5707
D' Evelyn,18 Evelyn Road 309307 Singapore,309307,28705.9731,33226.0427
d'Leedon,1 Leedon Heights 267939 Singapore,267939,24544.1325,33146.2153
D'Lotus,10 Lorong Ampas 328784 Singapore,328784,30245.5449,34260.9575
D'Weave,5 Lorong 39 Geylang  387786 Singapore,387786,33142.5402,32926.8899
Dahlia Park Condominium,9 Flora Drive 507013 Singapore,507013,42675.6662,37903.1151
Dakota Residences,34 Dakota Crescent 399936 Singapore,399936,33983.7607,32077.6388
Dalvey Villas ,10A- 10K Dalvey Estates 259527 Singapore,259527,26639.6055,33181.8572
Damai Grove,613B  Punggol Drive  822613 Singapore,822613,36341.9339,42903.4768
De Lente,104 Holland Road 278547 Singapore,278547,24482.2606,32674.3362
De Paradiso,20 Martaban Road 328644 Singapore,328644,29926.5068,34035.8825
Domus,8 Irrawaddy Road 329564 Singapore,329564,29356.6603,34216.1324
Dover Gardens ,28/28A-8D Dover Crescent  130028 Singapore,130028,22264.194,31866.2386
Draycott Drive,38 Draycott Drive 259428 Singapore,259428,27709.5884,32445.7372
Duchess Manor,20 Duchess Road 268988 Singapore,268988,25077.3533,34088.6701
Duchess Residences,110 Duchess Avenue 266313 Singapore,266313,24465.2388,34030.3376
Duet,78 Holland Road 258873 Singapore,258873,24779.5812,32593.8853
Dunman View,100 Haig Road 438797 Singapore,438797,35095.3674,32473.6326
East Meadows ,32 Tanah Merah Kechil Road 465559 Singapore,465559,40341.6622,34612.344
East Signature Condominium,1A Elliot Walk 458656 Singapore,458656,38956.9705,32728.2296
Eastcove Residences,302 Joo Chiat Place 427982 Singapore,427982,36405.8628,32969.7253
Eastern Lagoon Condominium II,208 Upper East Coast Road 455287 Singapore,455287,39136.9668,32727.8931
Eastern Residence,285 Joo Chiat Place 427966 Singapore,427966,36270.3359,33025.7802
Eastwood Centre,20 Eastwood Road 486442 Singapore,486442,41601.5543,33755.3067
Ecoville,10 Martaban Road 328668 Singapore,328668,29955.5589,34007.9354
Eden View,6 Eden Grove 539102 Singapore,539102,32367.4574,36265.0871
Edgedale Green,632 - 636 Punggol Drive 820632 Singapore,820632,36924.2143,42483.1408
Edgefield Plain ,111 - 119 Edgefield Plains 820111 Singapore,820111,36152.9234,42063.1872
Edgefield Plains ,101 - 105 Edgefield Plains 820101 Singapore,820101,36067.1119,42262.637
Edgefield Plains and Punggol Central Block 178-193,178-193 Edgefield Plains and Punggol Central 820178 Singapore,820178,36359.0016,42364.9152
Esterina,12 Haig Avenue 438867 Singapore,438867,35407.7493,32231.8819
Estique,3 Rose Lane 437361 Singapore,437361,34725.2457,32482.5519
Everitt Green,9 Everitt Road North 428522 Singapore,428522,35628.1838,33164.8678
