Postalcode,X-Coordinates,Y-Coordinates
738081,24962.7311,47392.5493,
308107,29270.5559,33459.2141,
569786,29011.7938,40701.8410,
519938,40054.5416,39882.7145,
138642,23168.7434,31616.7065,
424366,36098.6262,32747.4327,
249009,26924.6472,30602.9630,
358828,31788.1548,34627.2347,
238714,28933.7658,31289.7756,
068803,29918.0101,29083.4584,
248669,27036.0688,31456.3791,
239571,28581.2377,31076.1497,
238800,27935.4004,31704.8805,
229955,28570.5511,32441.0952,
258333,27365.4303,32324.4510,
218817,30133.5235,33091.6685,
426052,36365.7782,33156.3718,
598429,20863.1178,36157.5667,
426224,36487.8926,33281.6668,
597627,22002.1510,33573.3441,
439198,34900.2226,32473.8017,
228492,29712.7426,31789.6125,
228687,29620.1602,32064.6103,
609774,16949.7621,36226.7453,
238545,27608.8240,31423.1335,
059812,28815.5363,29348.5628,
358847,31731.4631,34744.7807,
219053,30067.3825,33245.9879,
258204,27491.9224,33292.7410,
821616,36832.5812,42572.2032,
820293,35971.0822,42770.6060,
820643,37203.4051,42134.1641,
820200,35762.7577,42351.7131,
820196,36206.3222,42360.7477,
820125,36686.1114,41759.0119,
820128,36818.2297,41649.1107,
821160,37168.8767,41912.1989,
823603,36307.7395,42799.1034,
821614,36451.6951,42826.8639,
822602,36184.5520,42763.6678,
278636,22142.6000,33433.0755,
579800,29112.5181,36679.6921,
098405,25772.2181,27704.1638,
238464,28971.4141,31313.9163,
169279,27534.7863,29641.4276,
423788,36385.2543,33189.3019,
548432,32791.1799,38006.4948,
329001,31452.3346,34315.6474,
519935,39907.2354,39588.8449,
438611,34838.6027,32630.0201,
169658,28885.6365,30224.0109,
238010,28803.5218,30609.0959,
329928,30137.6078,33727.6833,
546134,32553.3646,38328.2051,
436922,32277.1267,30927.4120,
329929,30097.9827,33764.2006,
228239,28378.8235,32740.1914,
218901,30246.5971,32861.1288,
329783,29973.9555,34151.2829,
249446,27118.7848,30640.3563,
460067,40326.2472,33471.2464,
449307,35766.1167,31372.5696,
520155,41899.0691,36315.9048,
520135,41769.5045,36685.8269,
388133,33710.4346,32966.3985,
238107,28301.9724,31060.5775,
429748,35799.5180,31993.3149,
142062,25563.6014,30752.2647,
596229,20526.9573,37815.1764,
757713,26457.9936,47763.0551,
556130,32267.9063,36711.4483,
427970,36288.1877,33019.6114,
187652,29989.2625,31404.6555,
188537,30155.6169,31152.9000,
534239,33259.6031,36930.0843,
247965,26072.3181,30493.1936,
258004,26898.4276,32070.3684,
159012,26336.0196,30469.4093,
560463,30689.7281,38775.6868,
561415,30354.3942,38490.8388,
560303,29328.3315,38742.6444,
307786,29239.1982,32986.2032,
424758,35805.5555,32065.3797,
358246,31962.4259,36298.4310,
426117,36829.2863,33242.7935,
308214,29726.8243,33946.4761,
424796,36653.5966,32171.5593,
425991,36130.1954,33040.2912,
423728,35972.7662,32161.9746,
329973,29299.0494,34359.5041,
098616,29446.8922,25849.5380,
239106,28689.6551,30994.0191,
328702,31283.8293,34415.4216,
228464,29599.8645,31325.4482,
419832,36600.8123,33404.4112,
556820,31019.6232,36889.2524,
543265,34972.0693,40449.9428,
269632,24361.7592,32710.3147,
239471,27899.5723,30906.5064,
423824,36629.4237,32849.7719,
659636,19386.7032,36536.3329,
229717,28424.2030,32349.3866,
439966,35390.9906,31568.1986,
259049,27181.6690,32959.8505,
118707,21433.9192,30365.0710,
575576,27790.7392,38477.0890,
427940,36221.1822,32954.8083,
118860,22608.0074,29341.2979,
419572,36411.4750,34287.0152,
249441,27269.8910,30766.0727,
127714,19327.1670,33475.9258,
109694,24699.4704,29406.6573,
658074,18606.0280,36791.3262,
258670,27078.6816,32527.0592,
268836,24848.0495,32869.2674,
229768,28566.9706,32085.9371,
308346,29022.3572,32975.6450,
678181,20157.3186,39709.7801,
229234,29543.2634,31334.2076,
276952,21929.7109,33000.8045,
609477,16882.4372,36353.6311,
117494,22671.8789,29218.4288,
821637,37045.1992,42396.6873,
219261,29448.4878,32947.3774,
158747,26074.4211,30319.9537,
328005,31413.8190,34268.4544,
425279,36366.5901,32447.1965,
518196,40403.8900,39147.6790,
238539,27696.0988,31424.5767,
310138,29277.3260,35430.2011,
099207,27001.4869,28121.5334,
239013,28805.1425,30423.9390,
080001,28883.9320,28833.5344,
689101,18789.9358,42290.7412,
098367,28914.2071,25748.0232,
331038,31741.6706,33590.8468,
018985,30152.3828,29246.5050,
307743,28982.2519,33172.0925,
278698,22050.4181,33414.7023,
308144,29484.3219,33486.8411,
239897,28401.4825,31210.6869,
468721,39308.1533,32734.0454,
249726,27194.4032,31861.1765,
419154,36921.9904,33587.4407,
437871,33979.7562,31179.6951,
416736,36312.5044,33516.9359,
128061,20396.0016,31177.5798,
689675,17936.9247,40886.5541,
534798,32275.5879,36648.3260,
540270,34776.9221,40897.4812,
820305,36120.2419,43083.4233,
319583,29497.6449,35585.2734,
239497,28131.3575,30385.0399,
438702,35195.4298,32498.2652,
169277,27507.7996,29713.1914,
268686,23666.0034,32813.6417,
248371,27290.2090,30600.8644,
127335,20776.6890,30732.0566,
259805,27959.6045,33137.5753,
439979,35432.3236,31517.6172,
548178,32927.7202,37435.6301,
398362,33920.8666,32723.1901,
238711,29056.7636,31174.8215,
436931,32355.0215,31008.5908,
479249,38790.1784,35464.5145,
238212,28559.5398,30370.7649,
128035,20468.4227,31223.2849,
128041,20544.9508,31098.8856,
127300,20645.0181,30586.1213,
518765,39352.7413,40187.0741,
689578,18344.7131,42132.2399,
760302,28707.3522,45751.4732,
238363,28098.3241,30788.8431
